row_id,order_id,customer_id,product_id,ship_mode,sales,quantity,discount,profit,profit_margin,order_date_id,ship_date_id
1,CA-2017-152156,CG-12520,FUR-BO-10001798,Second Class,261.96,1,0.0,52.391999999999996,0.2,1,584
2,CA-2017-152156,CG-12520,FUR-CH-10000454,Second Class,731.94,1,0.0,146.388,0.19999999999999998,1,584
3,CA-2017-138688,DV-13045,OFF-LA-10000240,Second Class,14.62,1,0.0,2.924,0.2,2,951
4,US-2016-108966,SO-20335,FUR-TA-10000577,Standard Class,957.5775,1,0.0,191.5155,0.2,3,1091
5,US-2016-108966,SO-20335,OFF-ST-10000760,Standard Class,22.368,1,0.0,4.4736,0.2,3,1091
6,CA-2015-115812,BH-11710,FUR-FU-10001487,Standard Class,48.86,1,0.0,9.772,0.2,4,1028
7,CA-2015-115812,BH-11710,OFF-AR-10002833,Standard Class,7.28,1,0.0,1.4560000000000002,0.2,4,1028
8,CA-2015-115812,BH-11710,TEC-PH-10002275,Standard Class,907.152,1,0.0,181.43040000000002,0.2,4,1028
9,CA-2015-115812,BH-11710,OFF-BI-10003910,Standard Class,18.504,1,0.0,3.7008000000000005,0.2,4,1028
10,CA-2015-115812,BH-11710,OFF-AP-10002892,Standard Class,114.9,1,0.0,22.980000000000004,0.2,4,1028
11,CA-2015-115812,BH-11710,FUR-TA-10001539,Standard Class,1706.184,1,0.0,341.2368,0.2,4,1028
12,CA-2015-115812,BH-11710,TEC-PH-10002033,Standard Class,911.424,1,0.0,182.28480000000002,0.2,4,1028
13,CA-2018-114412,AA-10480,OFF-PA-10002365,Standard Class,15.552,1,0.0,3.1104000000000003,0.2,5,694
14,CA-2017-161389,IM-15070,OFF-BI-10003656,Standard Class,407.976,1,0.0,81.5952,0.2,6,108
15,US-2016-118983,HP-14815,OFF-AP-10002311,Standard Class,68.81,1,0.0,13.762,0.2,7,651
16,US-2016-118983,HP-14815,OFF-BI-10000756,Standard Class,2.544,1,0.0,0.5088,0.2,7,651
17,CA-2015-105893,PK-19075,OFF-ST-10004186,Standard Class,665.88,1,0.0,133.17600000000002,0.20000000000000004,8,729
18,CA-2015-167164,AG-10270,OFF-ST-10000107,Second Class,55.5,1,0.0,11.100000000000001,0.20000000000000004,9,1231
19,CA-2015-143336,ZD-21925,OFF-AR-10003056,Second Class,8.56,1,0.0,1.7120000000000002,0.2,10,417
20,CA-2015-143336,ZD-21925,TEC-PH-10001949,Second Class,213.48,1,0.0,42.696,0.2,10,417
21,CA-2015-143336,ZD-21925,OFF-BI-10002215,Second Class,22.72,1,0.0,4.544,0.19999999999999998,10,417
22,CA-2017-137330,KB-16585,OFF-AR-10000246,Standard Class,19.46,1,0.0,3.8920000000000003,0.2,11,181
23,CA-2017-137330,KB-16585,OFF-AP-10001492,Standard Class,60.34,1,0.0,12.068000000000001,0.2,11,181
